,Timestamp,msTimestamp,,Region0R,Region1G,,,LedState
326,57940.9266,57940926.6,457557750,2604.707414,2101.323541,1,4,2
327,57940.9521,57940952.1,458379287,3620.374684,1425.387016,2,1,4
328,57940.97674,57940976.74,459200504,1987.877034,1963.27659,4,2,1
329,57941.0018,57941001.8,460022009,2604.585895,2102.905705,1,4,2
330,57941.02685,57941026.85,460842618,3621.187703,1425.714361,2,1,4
331,57941.05228,57941052.28,461664635,1987.535624,1959.113443,4,2,1
332,57941.07743,57941077.43,462485308,2606.703797,2101.600525,1,4,2
333,57941.102,57941102,463306925,3619.908861,1424.916984,2,1,4
334,57941.12712,57941127.12,464127870,1987.839421,1959.927607,4,2,1
335,57941.15233,57941152.33,464947967,2605.448101,2102.972852,1,4,2
336,57941.17719,57941177.19,465769056,3619.220253,1424.887607,2,1,4
337,57941.20242,57941202.42,466590081,1986.169982,1957.497705,4,2,1
338,57941.22732,57941227.32,467411762,2604.924412,2101.919475,1,4,2
339,57941.25268,57941252.68,468232339,3619.874141,1425.664,2,1,4
340,57941.27773,57941277.73,469840404,1987.295479,1957.069639,4,2,1
341,57941.30252,57941302.52,470660981,2605.338156,2102.368525,1,4,2
342,57941.32786,57941327.86,471481062,3618.968535,1425.105836,2,1,4
343,57941.35261,57941352.61,472302599,1986.716817,1955.760262,4,2,1
344,57941.3777,57941377.7,473123192,2605.135624,2101.898492,1,4,2
345,57941.40591,57941405.91,473944857,3619.639783,1424.812066,2,1,4
346,57941.4279,57941427.9,474765290,1987.388065,1955.395148,4,2,1
347,57941.45297,57941452.97,475586971,2605.25425,2102.024393,1,4,2
348,57941.47794,57941477.94,476407596,3617.733092,1424.942164,2,1,4
349,57941.50333,57941503.33,477229197,1986.84123,1955.575607,4,2,1
350,57941.52801,57941528.01,478049726,2604.866546,2102.511213,1,4,2
351,57941.55314,57941553.14,478870207,3619.081374,1425.198164,2,1,4
352,57941.57819,57941578.19,479691888,1987.162387,1957.405377,4,2,1
353,57941.60356,57941603.56,480512497,2605.190597,2102.381115,1,4,2
354,57941.62828,57941628.28,481333522,3619.422785,1424.610623,2,1,4
355,57941.65331,57941653.31,482154179,1986.117902,1957.15777,4,2,1
356,57941.67854,57941678.54,482975812,2605.335262,2102.548984,1,4,2
357,57941.70351,57941703.51,483796421,3620.617722,1425.072262,2,1,4
358,57941.7285,57941728.5,484616982,1987.738156,1958.4,4,2,1
359,57941.75377,57941753.77,485438551,2605.213743,2101.697049,1,4,2
360,57941.77855,57941778.55,486259128,3618.783363,1424.732328,2,1,4
361,57941.80381,57941803.81,487080745,1986.994575,1957.602623,4,2,1
362,57941.82903,57941829.03,487901258,2605.251356,2101.621508,1,4,2
363,57941.85385,57941853.85,488722443,3619.801808,1425.428984,2,1,4
364,57941.87908,57941879.08,489543452,1986.928029,1956.33941,4,2,1
365,57941.90392,57941903.92,490365053,2605.925497,2101.78518,1,4,2
366,57941.9291,57941929.1,491185630,3619.275226,1425.269508,2,1,4
367,57941.95412,57941954.12,492005791,1985.724412,1957.648787,4,2,1
368,57941.97921,57941979.21,492827392,2604.646655,2102.276197,1,4,2
369,57942.0042,57942004.2,493647889,3620.38915,1424.619016,2,1,4
370,57942.02939,57942029.39,494469538,1987.445931,1958.781902,4,2,1
371,57942.05452,57942054.52,495290051,2603.992767,2101.79777,1,4,2
372,57942.07948,57942079.48,496111684,3618.725497,1426.436197,2,1,4
373,57942.10437,57942104.37,496932261,1986.250995,1955.239869,4,2,1
374,57942.1296,57942129.6,497752774,2605.870524,2101.122098,1,4,2
375,57942.15448,57942154.48,498574471,3620.519349,1425.643016,2,1,4
376,57942.17972,57942179.72,499395512,1986.983002,1955.781246,4,2,1
377,57942.20494,57942204.94,500217065,2605.17613,2101.306754,1,4,2
378,57942.23,57942230,501039194,3621.034358,1424.841443,2,1,4
379,57942.255,57942255,501859243,1986.496926,1957.976131,4,2,1
380,57942.27997,57942279.97,503466252,2604.536709,2101.520787,1,4,2
381,57942.30487,57942304.87,504287853,3621.96311,1425.538098,2,1,4
382,57942.32993,57942329.93,505108382,1986.728391,1958.706361,4,2,1
383,57942.35498,57942354.98,505930063,2604.820253,2098.964984,1,4,2
